,trial_index,arm_name,trial_status,generation_method,generation_node,mean_validation_loss,cumulative_validation_loss,mean_test_loss,cumulative_test_loss,testing_time,validation_time,validation_accuracy,number_parameters,training_time,checkpoint_size,test_accuracy,input_dropout_probability,hidden_dropout_probability,output_dropout_probability,hidden_layer_nodes_1,hidden_layer_nodes_2,hidden_layer_nodes_3,learning_rate,beta1,beta2,w_decay,activation
28,28,28_0,COMPLETED,Uniform,GenerationStep_0,2.30429744720459,433.20928955078125,2.3053104877471924,361.9325866699219,0.3348121722539266,1.7380099018414816,0.10023722052574158,985590.0,4.067733653386434,11854899.0,0.10014237463474274,0.2903109625881575,0.8995491365291075,0.08299794207402711,799,362,188,0.0004730271256158339,0.35150578613333805,0.7405124336928197,0.8295383722018264,sigmoid
29,29,29_0,COMPLETED,Uniform,GenerationStep_0,2.3090622425079346,434.1109619140625,2.3095219135284424,362.60888671875,0.3364923397699992,1.7407017827033997,0.0758323073387146,602406.0,4.060393214225769,7252467.0,0.07288128137588501,0.04424805437260415,0.8050784472089715,0.1245351368213572,469,465,35,2.2236436487246034e-07,0.8983192450448186,0.26330354348731777,0.5350328521457512,swish
30,30,30_0,COMPLETED,Uniform,GenerationStep_0,2.7618918418884277,519.2479248046875,2.7738583087921143,435.451904296875,0.333084770043691,1.7453968842824301,0.09964463114738464,1752101.0,4.069973933696747,21060723.0,0.10014237463474274,0.26227916260544726,0.6200407025420794,0.737131913201776,999,945,26,0.06418212570090041,0.3446849152096294,0.7842523399963025,0.47075402269713645,swish
31,31,31_0,COMPLETED,Uniform,GenerationStep_0,2.352569818496704,442.2474060058594,2.3559226989746094,369.8858642578125,0.3334461212158203,1.744287916024526,0.10023722052574158,1329243.0,4.07776517868042,15983859.0,0.09943126142024994,0.9414412665583131,0.8778913905023905,0.5966314800179325,764,659,339,0.0045298915323172765,0.3130271404841496,0.8542149525240076,0.23130261004124095,sigmoid
32,32,32_0,COMPLETED,Uniform,GenerationStep_0,2.303981065750122,433.14727783203125,2.304500102996826,361.8021240234375,0.333980929851532,1.7251059770584107,0.11123759299516678,1322576.0,4.046591214338938,15902579.0,0.10966895520687103,0.06973911761479035,0.8335370488435617,0.8590243243861783,974,460,236,1.7826546613896535e-07,0.3406429209788572,0.12159190200432886,0.5521015287835641,swish
33,33,33_0,COMPLETED,Uniform,GenerationStep_0,2.3072004318237305,433.7500305175781,2.3059921264648438,362.03363037109375,0.3361936370531718,1.741808295249939,0.10023722052574158,415464.0,4.058641525109609,5005555.0,0.10014237463474274,0.24761286291946516,0.15587283986679412,0.5276579967982863,406,200,76,9.013226032273229e-08,0.29146687579450503,0.945060591662001,0.9231764541399424,swish
34,34,34_0,ABANDONED,Uniform,GenerationStep_0,,,,,,,,,,,,0.6997229792412799,0.16866859070349793,0.32522790042941785,878,710,477,0.25134948056574496,0.62345770057383,0.49897096877191904,0.3251725240868654,swish
35,35,35_0,COMPLETED,Uniform,GenerationStep_0,2.3051795959472656,433.3628845214844,2.3052725791931152,361.9137268066406,0.33670910994211833,1.7545668919881185,0.10023722052574158,501336.0,4.056977287928263,6037427.0,0.10014237463474274,0.4265037425445909,0.3656422371372706,0.46933451238244195,454,296,36,0.5276783124444391,0.8337054994718576,0.6209202016706006,0.8228004570291243,relu
36,36,36_0,COMPLETED,Uniform,GenerationStep_0,2.303507089614868,433.059814453125,2.3031983375549316,361.6015625,0.3372068484624227,1.735602617263794,0.10023722052574158,701124.0,4.0386736234029135,8438451.0,0.09943126142024994,0.07240393309975779,0.1139047302019146,0.6936534333129395,547,379,167,9.936020491187504e-06,0.9629760881631377,0.600939828877369,0.3069856221163353,relu
37,37,37_0,COMPLETED,Uniform,GenerationStep_0,2.304424524307251,433.2277526855469,2.3045215606689453,361.8037109375,0.3424196680386861,1.719520342350006,0.10023722052574158,1076681.0,4.109987513224284,12948723.0,0.09943126142024994,0.5584089308470669,0.14872169962798298,0.9876838931208123,899,351,156,0.003338813718915605,0.8188200820586554,0.6857655763661867,0.6216360286935465,sigmoid
